complaint_id,complaint_text,category
78,There has been no regular water supply in Indiranagar for the last 2 days. People are struggling to manage even basic needs like drinking and cooking. It is becoming very difficult for us to manage our daily routine. We request the concerned department to take immediate action.,Water Supply
79,The main road in Koramangala is full of deep potholes since last night. Vehicles are getting damaged and it is very risky for two-wheelers. Residents have complained multiple times but no proper action is taken. We hope the authorities will respond soon and provide a permanent solution.,Road & Potholes
80,"Residents of Koramangala have noticed that garbage is being burned in an open plot early in the morning, creating a lot of smoke and health issues. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Garbage & Sanitation
81,"There is no proper speed breaker near the school zone in BTM Layout, and vehicles are moving at high speed, posing a danger to children. It is becoming very difficult for us to manage our daily routine. We request the concerned department to take immediate action.",Road & Potholes
82,"There are very few buses available from Electronic City around midnight, and passengers are forced to wait for a long time at the bus stop. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Public Transport
83,"In Sarjapur Road, construction work continues during office hours, including weekends, causing constant noise and stress for people living nearby. Senior citizens and children are facing a lot of problems. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
84,"In MG Road, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. It is becoming very difficult for us to manage our daily routine. Please send a team to inspect the problem and fix it at the earliest.",Water Supply
85,"Buses starting from Banashankari are always overcrowded during office hours, making it difficult for elderly people and women to board. Because of this issue, people are scared to go out after dark. Kindly register this as a complaint and share the action taken details.",Public Transport
86,Uncollected garbage is piling up on the streets in Jayanagar for many weeks continuously. The overflowing dustbins are attracting stray animals and insects. Senior citizens and children are facing a lot of problems. We would be grateful if this issue is treated as high priority.,Garbage & Sanitation
87,"There is no proper speed breaker near the school zone in Hebbal, and vehicles are moving at high speed, posing a danger to children. Many people in the neighborhood are very frustrated with this issue. Kindly register this as a complaint and share the action taken details.",Road & Potholes
88,"After the recent rains, the road surface in Banashankari has completely worn out, and there are cracks and uneven patches everywhere. Senior citizens and children are facing a lot of problems. We hope the authorities will respond soon and provide a permanent solution.",Road & Potholes
89,"In Indiranagar, garbage trucks have not come since yesterday morning. People are throwing waste on the roadside as there is no proper collection. This is affecting our work and health on a daily basis. We request the concerned department to take immediate action.",Garbage & Sanitation
90,"The transformer near Whitefield is making a loud buzzing noise during peak traffic time, and people fear it might be faulty or overloaded. Because of this issue, people are scared to go out after dark. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
91,"In Jayanagar, garbage trucks have not come for over a month now. People are throwing waste on the roadside as there is no proper collection. Residents have complained multiple times but no proper action is taken. Kindly look into this matter and resolve it as soon as possible.",Garbage & Sanitation
92,There has been no regular water supply in Indiranagar for the last 2 days. People are struggling to manage even basic needs like drinking and cooking. Senior citizens and children are facing a lot of problems. We hope the authorities will respond soon and provide a permanent solution.,Water Supply
93,"People in Hebbal are burning dry leaves and plastic waste in the evening, leading to thick smoke and breathing problems for residents. Many people in the neighborhood are very frustrated with this issue. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
94,"Streetlights in Jayanagar have not been working since yesterday morning, and the entire stretch becomes pitch dark after sunset. Many people in the neighborhood are very frustrated with this issue. Please send a team to inspect the problem and fix it at the earliest.",Streetlights & Electricity
95,"A small factory near Koramangala is releasing dark smoke and foul smell during peak traffic time, severely affecting the air quality in the locality. Because of this issue, people are scared to go out after dark. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
96,"Construction work on the road in Sarjapur Road has been left incomplete for almost a week, causing huge traffic jams and inconvenience. It is becoming very difficult for us to manage our daily routine. Kindly look into this matter and resolve it as soon as possible.",Road & Potholes
97,Auto drivers operating from Basavanagudi are refusing to go by meter and are charging very high fares from passengers. It is becoming very difficult for us to manage our daily routine. Kindly address this problem before it leads to any serious incident.,Public Transport
98,"In Malleshwaram, construction work continues in the morning, including weekends, causing constant noise and stress for people living nearby. The situation is getting worse day by day and needs urgent attention. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
99,"In Malleshwaram, several streetlights keep flickering throughout the night, making it uncomfortable and unsafe for pedestrians. The situation is getting worse day by day and needs urgent attention. We would be grateful if this issue is treated as high priority.",Streetlights & Electricity
100,There has been no regular water supply in Rajajinagar since yesterday morning. People are struggling to manage even basic needs like drinking and cooking. It is becoming very difficult for us to manage our daily routine. Kindly address this problem before it leads to any serious incident.,Water Supply
101,"Construction work on the road in Malleshwaram has been left incomplete for almost a week, causing huge traffic jams and inconvenience. It is becoming very difficult for us to manage our daily routine. We would be grateful if this issue is treated as high priority.",Road & Potholes
102,"There is no proper timetable or digital display for bus timings in Indiranagar, so passengers have no idea when the next bus will come. This is causing inconvenience to office-goers and school children. We would be grateful if this issue is treated as high priority.",Public Transport
103,"A small factory near BTM Layout is releasing dark smoke and foul smell in the evening, severely affecting the air quality in the locality. Because of this issue, people are scared to go out after dark. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
104,"Construction work on the road in Indiranagar has been left incomplete for the past 10 days, causing huge traffic jams and inconvenience. Senior citizens and children are facing a lot of problems. Please send a team to inspect the problem and fix it at the earliest.",Road & Potholes
105,The main road in Indiranagar is full of deep potholes for almost a week. Vehicles are getting damaged and it is very risky for two-wheelers. Many people in the neighborhood are very frustrated with this issue. We hope the authorities will respond soon and provide a permanent solution.,Road & Potholes
106,"In Electronic City, construction work continues during peak traffic time, including weekends, causing constant noise and stress for people living nearby. Many people in the neighborhood are very frustrated with this issue. Kindly address this problem before it leads to any serious incident.",Noise & Pollution
107,"There are very few buses available from BTM Layout in the evening, and passengers are forced to wait for a long time at the bus stop. The situation is getting worse day by day and needs urgent attention. Kindly address this problem before it leads to any serious incident.",Public Transport
108,There has been no regular water supply in Banashankari for over a month now. People are struggling to manage even basic needs like drinking and cooking. The situation is getting worse day by day and needs urgent attention. Kindly look into this matter and resolve it as soon as possible.,Water Supply
109,"People in Sarjapur Road are burning dry leaves and plastic waste early in the morning, leading to thick smoke and breathing problems for residents. It is becoming very difficult for us to manage our daily routine. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
110,"Electric wires are hanging very low from the electric poles in MG Road, creating a serious safety hazard for people walking nearby. The situation is getting worse day by day and needs urgent attention. Please treat this as an urgent civic issue and resolve it quickly.",Streetlights & Electricity
111,"After the recent rains, the road surface in Basavanagudi has completely worn out, and there are cracks and uneven patches everywhere. The situation is getting worse day by day and needs urgent attention. We would be grateful if this issue is treated as high priority.",Road & Potholes
112,"In Indiranagar, garbage trucks have not come for over a month now. People are throwing waste on the roadside as there is no proper collection. This is causing inconvenience to office-goers and school children. We hope the authorities will respond soon and provide a permanent solution.",Garbage & Sanitation
113,"Loudspeakers from a function hall in Rajajinagar are playing music at very high volume in the evening, disturbing the entire neighborhood. The situation is getting worse day by day and needs urgent attention. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
114,"Loudspeakers from a function hall in Rajajinagar are playing music at very high volume around midnight, disturbing the entire neighborhood. Senior citizens and children are facing a lot of problems. We request the concerned department to take immediate action.",Noise & Pollution
115,"The bus stop in Yelahanka has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. This is causing inconvenience to office-goers and school children. We hope the authorities will respond soon and provide a permanent solution.",Public Transport
116,"Electric wires are hanging very low from the electric poles in Jayanagar, creating a serious safety hazard for people walking nearby. The situation is getting worse day by day and needs urgent attention. We would be grateful if this issue is treated as high priority.",Streetlights & Electricity
117,"Construction work on the road in Basavanagudi has been left incomplete for over a month now, causing huge traffic jams and inconvenience. Because of this issue, people are scared to go out after dark. We request the concerned department to take immediate action.",Road & Potholes
118,"In Banashankari, a large portion of the road has sunk, and there is stagnant water collected, increasing the chances of accidents. Residents have complained multiple times but no proper action is taken. We request the concerned department to take immediate action.",Road & Potholes
119,"Loudspeakers from a function hall in Rajajinagar are playing music at very high volume late at night, disturbing the entire neighborhood. It is becoming very difficult for us to manage our daily routine. We request the concerned department to take immediate action.",Noise & Pollution
120,"Electric wires are hanging very low from the electric poles in Basavanagudi, creating a serious safety hazard for people walking nearby. Senior citizens and children are facing a lot of problems. We hope the authorities will respond soon and provide a permanent solution.",Streetlights & Electricity
121,Uncollected garbage is piling up on the streets in Koramangala for many weeks continuously. The overflowing dustbins are attracting stray animals and insects. The situation is getting worse day by day and needs urgent attention. Please treat this as an urgent civic issue and resolve it quickly.,Garbage & Sanitation
122,The main road in Rajajinagar is full of deep potholes for almost a week. Vehicles are getting damaged and it is very risky for two-wheelers. Senior citizens and children are facing a lot of problems. Kindly address this problem before it leads to any serious incident.,Road & Potholes
123,"The transformer near Rajajinagar is making a loud buzzing noise around midnight, and people fear it might be faulty or overloaded. This is affecting our work and health on a daily basis. Kindly register this as a complaint and share the action taken details.",Streetlights & Electricity
124,"There is no proper speed breaker near the school zone in Indiranagar, and vehicles are moving at high speed, posing a danger to children. This is causing inconvenience to office-goers and school children. Please treat this as an urgent civic issue and resolve it quickly.",Road & Potholes
125,"In Electronic City, the water supply timing keeps changing without any proper information, causing a lot of confusion among residents. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Water Supply
126,"Water pressure in Whitefield is extremely low during peak traffic time, and the tanks do not get filled even after several hours. This is affecting our work and health on a daily basis. Kindly register this as a complaint and share the action taken details.",Water Supply
127,"In BTM Layout, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. The situation is getting worse day by day and needs urgent attention. Kindly address this problem before it leads to any serious incident.",Water Supply
128,"People in BTM Layout are burning dry leaves and plastic waste during office hours, leading to thick smoke and breathing problems for residents. Residents have complained multiple times but no proper action is taken. We request the concerned department to take immediate action.",Noise & Pollution
129,"People in Sarjapur Road are burning dry leaves and plastic waste in the morning, leading to thick smoke and breathing problems for residents. The situation is getting worse day by day and needs urgent attention. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
130,Auto drivers operating from Hebbal are refusing to go by meter and are charging very high fares from passengers. Senior citizens and children are facing a lot of problems. Please send a team to inspect the problem and fix it at the earliest.,Public Transport
131,"People in Electronic City are burning dry leaves and plastic waste early in the morning, leading to thick smoke and breathing problems for residents. Residents have complained multiple times but no proper action is taken. We would be grateful if this issue is treated as high priority.",Noise & Pollution
132,"After the recent rains, the road surface in Yelahanka has completely worn out, and there are cracks and uneven patches everywhere. Because of this issue, people are scared to go out after dark. We request the concerned department to take immediate action.",Road & Potholes
133,"There is no proper timetable or digital display for bus timings in Yelahanka, so passengers have no idea when the next bus will come. This is causing inconvenience to office-goers and school children. Please send a team to inspect the problem and fix it at the earliest.",Public Transport
134,"Water pressure in Basavanagudi is extremely low late at night, and the tanks do not get filled even after several hours. Residents have complained multiple times but no proper action is taken. We hope the authorities will respond soon and provide a permanent solution.",Water Supply
135,"In BTM Layout, the water coming from the taps is very muddy and has a bad smell, making it unsafe for daily use. This is affecting our work and health on a daily basis. We would be grateful if this issue is treated as high priority.",Water Supply
136,"After the recent rains, the road surface in Hebbal has completely worn out, and there are cracks and uneven patches everywhere. Residents have complained multiple times but no proper action is taken. We would be grateful if this issue is treated as high priority.",Road & Potholes
137,"There is no proper timetable or digital display for bus timings in MG Road, so passengers have no idea when the next bus will come. The situation is getting worse day by day and needs urgent attention. Please send a team to inspect the problem and fix it at the earliest.",Public Transport
138,The main road in Jayanagar is full of deep potholes for the past 10 days. Vehicles are getting damaged and it is very risky for two-wheelers. The situation is getting worse day by day and needs urgent attention. We would be grateful if this issue is treated as high priority.,Road & Potholes
139,"In BTM Layout, garbage trucks have not come for many weeks continuously. People are throwing waste on the roadside as there is no proper collection. It is becoming very difficult for us to manage our daily routine. Kindly look into this matter and resolve it as soon as possible.",Garbage & Sanitation
140,"The bus stop in Malleshwaram has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. Many people in the neighborhood are very frustrated with this issue. We would be grateful if this issue is treated as high priority.",Public Transport
141,"The road in Indiranagar is covered with dust due to continuous movement of heavy vehicles, and there is no regular cleaning by the authorities. Many people in the neighborhood are very frustrated with this issue. Please treat this as an urgent civic issue and resolve it quickly.",Noise & Pollution
142,"People in MG Road are burning dry leaves and plastic waste in the evening, leading to thick smoke and breathing problems for residents. Because of this issue, people are scared to go out after dark. We hope the authorities will respond soon and provide a permanent solution.",Noise & Pollution
143,"A small factory near Indiranagar is releasing dark smoke and foul smell late at night, severely affecting the air quality in the locality. This is affecting our work and health on a daily basis. Kindly register this as a complaint and share the action taken details.",Noise & Pollution
144,"People in Yelahanka are burning dry leaves and plastic waste early in the morning, leading to thick smoke and breathing problems for residents. This is affecting our work and health on a daily basis. Please send a team to inspect the problem and fix it at the earliest.",Noise & Pollution
145,"The bus stop in Whitefield has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. It is becoming very difficult for us to manage our daily routine. We request the concerned department to take immediate action.",Public Transport
146,"After the recent rains, the road surface in Basavanagudi has completely worn out, and there are cracks and uneven patches everywhere. Because of this issue, people are scared to go out after dark. We would be grateful if this issue is treated as high priority.",Road & Potholes
147,"The bus stop in Electronic City has no proper shelter or seating, and people have to stand in the hot sun or heavy rain. It is becoming very difficult for us to manage our daily routine. Kindly register this as a complaint and share the action taken details.",Public Transport
148,"In Koramangala, a large portion of the road has sunk, and there is stagnant water collected, increasing the chances of accidents. Many people in the neighborhood are very frustrated with this issue. We would be grateful if this issue is treated as high priority.",Road & Potholes
149,There has been no regular water supply in Malleshwaram for the last 2 days. People are struggling to manage even basic needs like drinking and cooking. Residents have complained multiple times but no proper action is taken. Kindly address this problem before it leads to any serious incident.,Water Supply
